time;velo_in;velo_o1;velo_o2;press_in_[Pa];press_o1_[Pa];press_o2_[Pa];wall_shear_[Pa];max_turb_plane_1[J/s]
0.010000000;0.8925499920;0.7812505360;0.3520165380;13778.1680000000;10902.4609000000;10902.4609000000;;
0.020000000;1.1650999800;1.0462883700;0.4036373200;14939.6064000000;11240.5000000000;11240.5000000000;;
0.029999999;1.5295890600;1.3924429400;0.5070105790;17500.1426000000;11564.7432000000;11564.7432000000;;
0.039999999;1.6005519600;1.4772422300;0.5288150910;16590.8535000000;11875.4033000000;11875.4063000000;;
0.050000001;1.6715149900;1.5409191800;0.5645433070;17282.8809000000;12172.6680000000;12172.7012000000;;
0.059999999;1.7231408400;1.6052062500;0.5554815530;17820.6250000000;12456.8428000000;12456.8428000000;;
0.070000000;1.7167381000;1.6265517500;0.4948658350;17976.4238000000;12728.0459000000;12728.0459000000;;
0.079999998;1.7086471300;1.6408741500;0.4313651320;18260.7930000000;12986.5234000000;12986.5234000000;;
0.090000004;1.6988678000;1.6470679000;0.3807684180;18561.8398000000;13232.4883000000;13232.4883000000;;
0.100000001;1.6873999800;1.6461014700;0.3457107540;18744.2617000000;13466.1572000000;13466.1572000000;;
0.109999999;1.6742438100;1.6392514700;0.3229728040;18965.6777000000;13687.7412000000;13687.7412000000;;
0.119999997;1.6593991500;1.6278719900;0.3093970120;19077.8672000000;13897.4561000000;13897.4561000000;;
0.129999995;1.6428661300;1.6133452700;0.3005371990;19195.3926000000;14095.5156000000;14095.5156000000;;
0.140000001;1.6246447600;1.5965405700;0.2941681440;19257.2461000000;14282.1338000000;14282.1338000000;;
0.150000006;1.6047350200;1.5777008500;0.2886497080;19326.3340000000;14457.5234000000;14457.5234000000;;
0.159999996;1.5831366800;1.5572580100;0.2837823630;19364.7969000000;14621.8994000000;14621.8994000000;;
0.170000002;1.5598502200;1.5343552800;0.2784920330;19411.4141000000;14775.4756000000;14775.4756000000;;
0.180000007;1.5348751500;1.5100553000;0.2733872830;19401.8750000000;14918.4658000000;14918.4658000000;;
0.189999998;1.5082117300;1.4844049200;0.2684579190;19396.3730000000;15051.0840000000;15051.0840000000;;
0.200000003;1.4798599500;1.4570316100;0.2633025650;19362.1172000000;15173.5449000000;15173.5449000000;;
0.209999993;1.4498198000;1.4271807700;0.2568764390;19320.5566000000;15286.0615000000;15286.0615000000;;
0.219999999;1.4180911800;1.3964330000;0.2508834900;19267.6797000000;15388.8477000000;15388.8477000000;;
