[Name];
area ave pressure in at area ave pressure in;
;
[Data];
Time [ s ];area ave pressure in [ Pa ]
0.0099999998;13778.1680000000
0.0199999996;14939.6064000000
0.0299999993;17500.1426000000
0.0399999991;16590.8535000000
0.0500000007;17282.8809000000
0.0599999987;17820.6250000000
0.0700000003;17976.4238000000
0.0799999982;18260.7930000000
0.0900000036;18561.8398000000
0.1000000010;18744.2617000000
0.1099999990;18965.6777000000
0.1199999970;19077.8672000000
0.1299999950;19195.3926000000
0.1400000010;19257.2461000000
0.1500000060;19326.3340000000
0.1599999960;19364.7969000000
0.1700000020;19411.4141000000
0.1800000070;19401.8750000000
0.1899999980;19396.3730000000
0.2000000030;19362.1172000000
0.2099999930;19320.5566000000
0.2199999990;19267.6797000000
0.2300000040;19193.4277000000
0.2399999950;19071.6133000000
0.2500000000;18969.1367000000
0.2599999900;18821.5176000000
0.2700000110;18695.9219000000
0.2800000010;18584.9688000000
0.2899999920;18439.0547000000
0.3000000120;18069.7617000000
0.3100000020;18120.6758000000
0.3199999930;18071.7539000000
0.3300000130;18093.1934000000
0.3400000040;18140.8613000000
0.3499999940;18192.4375000000
0.3600000140;18269.5605000000
0.3700000050;18285.7422000000
0.3799999950;18295.9492000000
0.3899999860;18246.2031000000
0.4000000060;18223.0234000000
0.4099999960;18139.0332000000
0.4199999870;18075.3457000000
0.4300000070;17980.7363000000
0.4399999980;17823.9277000000
0.4499999880;17714.2617000000
0.4600000080;17604.3789000000
0.4699999990;17493.6855000000
0.4799999890;17364.2773000000
0.4900000100;17208.5469000000
0.5000000000;17119.3555000000
0.5099999900;16988.0156000000
0.5199999810;16826.5898000000
0.5299999710;16700.7070000000
0.5400000210;16583.4531000000
0.5500000120;16476.3320000000
0.5600000020;16311.7969000000
0.5699999930;16204.3643000000
0.5799999830;16041.3926000000
0.5899999740;15915.8330000000
0.6000000240;15774.1064000000
0.6100000140;15667.2314000000
0.6200000050;15556.2842000000
0.6299999950;15365.7471000000
0.6399999860;15296.4951000000
0.6499999760;15151.1689000000
0.6600000260;15022.0410000000
0.6700000170;14897.2354000000
0.6800000070;14688.8770000000
0.6899999980;14624.5000000000
0.6999999880;14441.9355000000
0.7099999790;14339.0361000000
0.7200000290;14185.0840000000
0.7300000190;14094.3311000000
0.7400000100;13918.6709000000
0.7500000000;13878.8047000000
0.7599999900;13723.2695000000
0.7699999810;13568.2803000000
0.7799999710;13483.2197000000
0.7900000210;13352.4834000000
0.8000000120;13228.7979000000
0.8100000020;13153.5459000000
0.8199999930;13016.2725000000
0.8299999830;12934.4141000000
0.8399999740;12842.1973000000
0.8500000240;12747.6377000000
0.8600000140;12644.4551000000
0.8700000050;12530.3682000000
0.8799999950;12485.1816000000
0.8899999860;12332.6172000000
0.8999999760;12303.6904000000
0.9100000260;12243.9648000000
0.9200000170;12180.0986000000
0.9300000070;12095.2441000000
0.9399999980;12058.9570000000
0.9499999880;12031.6084000000
0.9599999790;11962.2666000000
0.9700000290;11991.3633000000
0.9800000190;11971.8047000000
0.9900000100;11927.8633000000
1.0000000000;11892.6729000000
;
;
[Name];
area ave pressure o1 at area ave pressure o1;
;
[Data];
Time [ s ];area ave pressure o1 [ Pa ]
0.0099999998;10902.4609000000
0.0199999996;11240.5000000000
0.0299999993;11564.7432000000
0.0399999991;11875.4033000000
0.0500000007;12172.6680000000
0.0599999987;12456.8428000000
0.0700000003;12728.0459000000
0.0799999982;12986.5234000000
0.0900000036;13232.4883000000
0.1000000010;13466.1572000000
0.1099999990;13687.7412000000
0.1199999970;13897.4561000000
0.1299999950;14095.5156000000
0.1400000010;14282.1338000000
0.1500000060;14457.5234000000
0.1599999960;14621.8994000000
0.1700000020;14775.4756000000
0.1800000070;14918.4658000000
0.1899999980;15051.0840000000
0.2000000030;15173.5449000000
0.2099999930;15286.0615000000
0.2199999990;15388.8477000000
0.2300000040;15482.1182000000
0.2399999950;15566.0859000000
0.2500000000;15640.9658000000
0.2599999900;15706.9717000000
0.2700000110;15764.3174000000
0.2800000010;15813.2158000000
0.2899999920;15853.8828000000
0.3000000120;15886.5313000000
0.3100000020;15911.3750000000
0.3199999930;15928.6279000000
0.3300000130;15938.5049000000
0.3400000040;15941.2188000000
0.3499999940;15936.9844000000
0.3600000140;15926.0146000000
0.3700000050;15908.5244000000
0.3799999950;15884.7275000000
0.3899999860;15854.8379000000
0.4000000060;15819.0693000000
0.4099999960;15777.6367000000
0.4199999870;15730.7520000000
0.4300000070;15678.6309000000
0.4399999980;15621.4863000000
0.4499999880;15559.5322000000
0.4600000080;15492.9834000000
0.4699999990;15422.0537000000
