[Name];
velocity_inlet at area ave velocity inlet;
;
[Data];
Time [ s ];area ave velocity inlet [ m s^-1 ]
0.0099999998;0.8925499920
0.0199999996;1.1650999800
0.0299999993;1.5295890600
0.0399999991;1.6005519600
0.0500000007;1.6715149900
0.0599999987;1.7231408400
0.0700000003;1.7167381000
0.0799999982;1.7086471300
0.0900000036;1.6988678000
0.1000000010;1.6873999800
0.1099999990;1.6742438100
0.1199999970;1.6593991500
0.1299999950;1.6428661300
0.1400000010;1.6246447600
0.1500000060;1.6047350200
0.1599999960;1.5831366800
0.1700000020;1.5598502200
0.1800000070;1.5348751500
0.1899999980;1.5082117300
0.2000000030;1.4798599500
0.2099999930;1.4498198000
0.2199999990;1.4180911800
0.2300000040;1.3846741900
0.2399999950;1.3495687200
0.2500000000;1.3127749000
0.2599999900;1.2742927100
0.2700000110;1.2341221600
0.2800000010;1.1922631300
0.2899999920;1.1487157300
0.3000000120;1.0853396700
0.3100000020;1.0474292000
0.3199999930;1.0215860600
0.3300000130;1.0078100000
0.3400000040;1.0202167000
0.3499999940;1.0385799400
0.3600000140;1.0529286900
0.3700000050;1.0632630600
0.3799999950;1.0695830600
0.3899999860;1.0718886900
0.4000000060;1.0713998100
0.4099999960;1.0667562500
0.4199999870;1.0557057900
0.4300000070;1.0382483000
0.4399999980;1.0143837900
0.4499999880;0.9966002700
0.4600000080;0.9842627640
0.4699999990;0.9723165040
0.4799999890;0.9607614280
0.4900000100;0.9495976570
0.5000000000;0.9388250110
0.5099999900;0.9284436110
0.5199999810;0.9184534550
0.5299999710;0.9088544850
0.5400000210;0.8996467590
0.5500000120;0.8908302780
0.5600000020;0.8824049830
0.5699999930;0.8743708730
0.5799999830;0.8667280670
0.5899999740;0.8594764470
0.6000000240;0.8526160120
0.6100000140;0.8461468220
0.6200000050;0.8394880290
0.6299999950;0.8337119820
0.6399999860;0.8279359940
0.6499999760;0.8221600060
0.6600000260;0.8163840170
0.6700000170;0.8106080290
