[Name]
wall shear at area ave wall shear

[Data]
Time [ s ],area ave wall shear [ Pa ]
9.99999978e-03, 2.16421547e+01
1.99999996e-02, 2.73519344e+01
2.99999993e-02, 4.17413864e+01
3.99999991e-02, 4.64355316e+01
5.00000007e-02, 5.06535416e+01
5.99999987e-02, 5.38688927e+01
7.00000003e-02, 5.44756432e+01
7.99999982e-02, 5.45096054e+01
9.00000036e-02, 5.41870232e+01
1.00000001e-01, 5.37287178e+01
1.09999999e-01, 5.31842537e+01
1.19999997e-01, 5.25196419e+01
1.29999995e-01, 5.17613525e+01
1.40000001e-01, 5.09047470e+01
1.50000006e-01, 4.99763184e+01
1.59999996e-01, 4.90011520e+01
1.70000002e-01, 4.79383736e+01
1.80000007e-01, 4.68192787e+01
1.89999998e-01, 4.56563110e+01
2.00000003e-01, 4.44253273e+01
2.09999993e-01, 4.30837021e+01
2.19999999e-01, 4.17241898e+01
2.30000004e-01, 4.02868843e+01
2.39999995e-01, 3.88057899e+01
2.50000000e-01, 3.73102112e+01
2.59999990e-01, 3.57558594e+01
2.70000011e-01, 3.41511993e+01
2.80000001e-01, 3.25057411e+01
2.89999992e-01, 3.08326263e+01
3.00000012e-01, 2.85806618e+01
3.10000002e-01, 2.71266308e+01
3.19999993e-01, 2.60136395e+01
3.30000013e-01, 2.54034805e+01
3.40000004e-01, 2.55533962e+01
3.49999994e-01, 2.60054188e+01
3.60000014e-01, 2.64570808e+01
3.70000005e-01, 2.68565025e+01
3.79999995e-01, 2.71658077e+01
3.89999986e-01, 2.72715416e+01
4.00000006e-01, 2.73326359e+01
4.09999996e-01, 2.72110462e+01
4.19999987e-01, 2.68843670e+01
4.30000007e-01, 2.63888340e+01
4.39999998e-01, 2.56457062e+01
4.49999988e-01, 2.50397968e+01
4.60000008e-01, 2.45304413e+01
4.69999999e-01, 2.41031590e+01
4.79999989e-01, 2.36765709e+01
4.90000010e-01, 2.32365837e+01
5.00000000e-01, 2.28534374e+01
5.09999990e-01, 2.24537868e+01
5.19999981e-01, 2.20572777e+01
5.29999971e-01, 2.17107773e+01
5.40000021e-01, 2.13728065e+01
5.50000012e-01, 2.11024914e+01
5.60000002e-01, 2.07729568e+01
5.69999993e-01, 2.05010910e+01
5.79999983e-01, 2.02284355e+01
5.89999974e-01, 1.99779263e+01
6.00000024e-01, 1.97736835e+01
6.10000014e-01, 1.95963039e+01
6.20000005e-01, 1.93430328e+01
6.29999995e-01, 1.91192112e+01
6.39999986e-01, 1.89458256e+01
6.49999976e-01, 1.87585640e+01
6.60000026e-01, 1.85245342e+01
6.70000017e-01, 1.81999397e+01
6.80000007e-01, 1.81169987e+01
6.89999998e-01, 1.80319710e+01
6.99999988e-01, 1.78337898e+01
7.09999979e-01, 1.76958370e+01
7.20000029e-01, 1.74435539e+01
7.30000019e-01, 1.72798119e+01
7.40000010e-01, 1.71053696e+01
7.50000000e-01, 1.70083656e+01
7.59999990e-01, 1.67448807e+01
7.69999981e-01, 1.65966759e+01
7.79999971e-01, 1.63288784e+01
7.90000021e-01, 1.63259430e+01
8.00000012e-01, 1.60709171e+01
8.10000002e-01, 1.58828077e+01
8.19999993e-01, 1.56042757e+01
8.29999983e-01, 1.54289513e+01
8.39999974e-01, 1.53978825e+01
8.50000024e-01, 1.50703964e+01
8.60000014e-01, 1.48527422e+01
8.70000005e-01, 1.47976065e+01
8.79999995e-01, 1.47119064e+01
8.89999986e-01, 1.45178270e+01
8.99999976e-01, 1.44814177e+01
9.10000026e-01, 1.41166391e+01
9.20000017e-01, 1.38118153e+01
9.30000007e-01, 1.38136988e+01
9.39999998e-01, 1.37237949e+01
9.49999988e-01, 1.33416481e+01
9.59999979e-01, 1.34370823e+01
9.70000029e-01, 1.32651205e+01
9.80000019e-01, 1.29431438e+01
9.90000010e-01, 1.27138891e+01
1.00000000e+00, 1.27988148e+01


[Name]
Series 2 at wall shear plane 1

[Data]
Time [ s ],wall shear plane 1 [ Pa ]
9.99999978e-03, 1.74053574e+01
1.99999996e-02, 2.05705891e+01
2.99999993e-02, 3.16224594e+01
3.99999991e-02, 3.55277748e+01
5.00000007e-02, 3.89906921e+01
5.99999987e-02, 4.30564880e+01
7.00000003e-02, 4.38375893e+01
7.99999982e-02, 4.39947891e+01
9.00000036e-02, 4.38139572e+01
1.00000001e-01, 4.33663712e+01
1.09999999e-01, 4.28903465e+01
1.19999997e-01, 4.23207932e+01
1.29999995e-01, 4.16795235e+01
1.40000001e-01, 4.09817581e+01
1.50000006e-01, 4.02535362e+01
1.59999996e-01, 3.95129013e+01
1.70000002e-01, 3.87023201e+01
1.80000007e-01, 3.78578987e+01
1.89999998e-01, 3.69939728e+01
2.00000003e-01, 3.60698128e+01
2.09999993e-01, 3.50262527e+01
2.19999999e-01, 3.39891090e+01
2.30000004e-01, 3.28757248e+01
2.39999995e-01, 3.17085342e+01
2.50000000e-01, 3.05500126e+01
2.59999990e-01, 2.93257446e+01
2.70000011e-01, 2.80208359e+01
2.80000001e-01, 2.67010803e+01
2.89999992e-01, 2.53547859e+01
3.00000012e-01, 2.35031376e+01
3.10000002e-01, 2.23507710e+01
3.19999993e-01, 2.14250317e+01
3.30000013e-01, 2.08415623e+01
3.40000004e-01, 2.08998909e+01
3.49999994e-01, 2.11354141e+01
3.60000014e-01, 2.14201965e+01
3.70000005e-01, 2.17075005e+01
3.79999995e-01, 2.19478340e+01
3.89999986e-01, 2.20710869e+01
4.00000006e-01, 2.21211510e+01
4.09999996e-01, 2.20304985e+01
4.19999987e-01, 2.17934113e+01
4.30000007e-01, 2.14320450e+01
4.39999998e-01, 2.09322052e+01
4.49999988e-01, 2.05195751e+01
4.60000008e-01, 2.01149235e+01
4.69999999e-01, 1.97871513e+01
4.79999989e-01, 1.93897057e+01
4.90000010e-01, 1.90125523e+01
5.00000000e-01, 1.86715488e+01
5.09999990e-01, 1.83276577e+01
5.19999981e-01, 1.79894409e+01
5.29999971e-01, 1.76646957e+01
5.40000021e-01, 1.73469334e+01
5.50000012e-01, 1.70825348e+01
5.60000002e-01, 1.68011017e+01
5.69999993e-01, 1.65504017e+01
5.79999983e-01, 1.63253307e+01
5.89999974e-01, 1.60904007e+01
6.00000024e-01, 1.58976402e+01
6.10000014e-01, 1.56996822e+01
6.20000005e-01, 1.55170584e+01
6.29999995e-01, 1.53060846e+01
6.39999986e-01, 1.51444273e+01
6.49999976e-01, 1.50387058e+01
6.60000026e-01, 1.48306217e+01
6.70000017e-01, 1.46902037e+01
6.80000007e-01, 1.44860735e+01
6.89999998e-01, 1.44085369e+01
6.99999988e-01, 1.42100582e+01
7.09999979e-01, 1.40950308e+01
7.20000029e-01, 1.38821945e+01
7.30000019e-01, 1.37674637e+01
7.40000010e-01, 1.35874109e+01
7.50000000e-01, 1.36420307e+01
7.59999990e-01, 1.33233137e+01
7.69999981e-01, 1.31311512e+01
7.79999971e-01, 1.29820375e+01
7.90000021e-01, 1.29558678e+01
8.00000012e-01, 1.26995592e+01
8.10000002e-01, 1.26413040e+01
8.19999993e-01, 1.24263105e+01
8.29999983e-01, 1.22835531e+01
8.39999974e-01, 1.21944418e+01
8.50000024e-01, 1.19825554e+01
8.60000014e-01, 1.18313265e+01
8.70000005e-01, 1.15966740e+01
8.79999995e-01, 1.15317822e+01
8.89999986e-01, 1.13237743e+01
8.99999976e-01, 1.13165770e+01
9.10000026e-01, 1.11536341e+01
9.20000017e-01, 1.09926767e+01
9.30000007e-01, 1.08417816e+01
9.39999998e-01, 1.08067703e+01
9.49999988e-01, 1.05158997e+01
9.59999979e-01, 1.03714523e+01
9.70000029e-01, 1.03853502e+01
9.80000019e-01, 1.00710907e+01
9.90000010e-01, 1.00024052e+01
1.00000000e+00, 9.90209770e+00


[Name]
Series 3 at max wall shear on plane 1

[Data]
Time [ s ],max wall shear on plane 1 [ Pa ]
9.99999978e-03, 5.95987282e+01
1.99999996e-02, 8.00077667e+01
2.99999993e-02, 1.37209396e+02
3.99999991e-02, 1.47260681e+02
5.00000007e-02, 1.70917267e+02
5.99999987e-02, 1.91760406e+02
7.00000003e-02, 2.02470520e+02
7.99999982e-02, 2.09458572e+02
9.00000036e-02, 2.12658966e+02
1.00000001e-01, 2.12827805e+02
1.09999999e-01, 2.10825516e+02
1.19999997e-01, 2.08040359e+02
1.29999995e-01, 2.05471603e+02
1.40000001e-01, 2.02631516e+02
1.50000006e-01, 1.99457260e+02
1.59999996e-01, 1.96036835e+02
1.70000002e-01, 1.92266052e+02
1.80000007e-01, 1.88317917e+02
1.89999998e-01, 1.84187073e+02
2.00000003e-01, 1.79722717e+02
2.09999993e-01, 1.74772125e+02
2.19999999e-01, 1.69691040e+02
2.30000004e-01, 1.64241501e+02
2.39999995e-01, 1.58470490e+02
2.50000000e-01, 1.52492493e+02
2.59999990e-01, 1.46342896e+02
2.70000011e-01, 1.39861679e+02
2.80000001e-01, 1.33355804e+02
2.89999992e-01, 1.26740807e+02
3.00000012e-01, 1.17570992e+02
3.10000002e-01, 1.11257393e+02
3.19999993e-01, 1.06798073e+02
3.30000013e-01, 1.04215698e+02
3.40000004e-01, 1.05305145e+02
3.49999994e-01, 1.06801933e+02
3.60000014e-01, 1.08381989e+02
3.70000005e-01, 1.09430222e+02
3.79999995e-01, 1.10290100e+02
3.89999986e-01, 1.11393547e+02
4.00000006e-01, 1.12158096e+02
4.09999996e-01, 1.12579544e+02
4.19999987e-01, 1.12123665e+02
4.30000007e-01, 1.10590538e+02
4.39999998e-01, 1.08178520e+02
4.49999988e-01, 1.05870239e+02
4.60000008e-01, 1.03925728e+02
4.69999999e-01, 1.01895744e+02
4.79999989e-01, 9.97074890e+01
4.90000010e-01, 9.74381485e+01
5.00000000e-01, 9.52692871e+01
5.09999990e-01, 9.32478104e+01
5.19999981e-01, 9.14978790e+01
5.29999971e-01, 8.95830841e+01
5.40000021e-01, 8.78514328e+01
5.50000012e-01, 8.60226212e+01
5.60000002e-01, 8.44050522e+01
5.69999993e-01, 8.27387161e+01
5.79999983e-01, 8.12707825e+01
5.89999974e-01, 7.96321411e+01
6.00000024e-01, 7.83021088e+01
6.10000014e-01, 7.66868515e+01
6.20000005e-01, 7.55979004e+01
6.29999995e-01, 7.44600220e+01
6.39999986e-01, 7.32527161e+01
6.49999976e-01, 7.25762482e+01
6.60000026e-01, 7.14789124e+01
6.70000017e-01, 7.19300766e+01
6.80000007e-01, 6.96779404e+01
6.89999998e-01, 6.84202194e+01
6.99999988e-01, 6.73981857e+01
7.09999979e-01, 6.64484482e+01
7.20000029e-01, 6.58851852e+01
7.30000019e-01, 6.48112106e+01
7.40000010e-01, 6.39494057e+01
7.50000000e-01, 6.33495827e+01
7.59999990e-01, 6.21933289e+01
7.69999981e-01, 6.09562111e+01
7.79999971e-01, 6.07166901e+01
7.90000021e-01, 5.93582954e+01
8.00000012e-01, 5.84138412e+01
8.10000002e-01, 5.81422577e+01
8.19999993e-01, 5.76454468e+01
8.29999983e-01, 5.69100990e+01
8.39999974e-01, 5.54762611e+01
8.50000024e-01, 5.52871552e+01
8.60000014e-01, 5.46896820e+01
8.70000005e-01, 5.27247200e+01
8.79999995e-01, 5.17447548e+01
8.89999986e-01, 5.11670532e+01
8.99999976e-01, 4.98177185e+01
9.10000026e-01, 4.98975906e+01
9.20000017e-01, 5.00449944e+01
9.30000007e-01, 4.80477066e+01
9.39999998e-01, 4.72747955e+01
9.49999988e-01, 4.73791618e+01
9.59999979e-01, 4.50579071e+01
9.70000029e-01, 4.50964584e+01
9.80000019e-01, 4.45039520e+01
9.90000010e-01, 4.42586899e+01
1.00000000e+00, 4.23914909e+01


[Name]
Series 4 at max wall shear on wall

[Data]
Time [ s ],max wall shear on wall [ Pa ]
9.99999978e-03, 2.25980286e+02
1.99999996e-02, 3.12071045e+02
2.99999993e-02, 4.34007385e+02
3.99999991e-02, 4.58609497e+02
5.00000007e-02, 4.83361267e+02
5.99999987e-02, 5.01486145e+02
7.00000003e-02, 4.99243225e+02
7.99999982e-02, 4.96398651e+02
9.00000036e-02, 4.92963623e+02
1.00000001e-01, 4.88940247e+02
1.09999999e-01, 4.84330414e+02
1.19999997e-01, 4.79137024e+02
1.29999995e-01, 4.73360809e+02
1.40000001e-01, 4.67006226e+02
1.50000006e-01, 4.60076996e+02
1.59999996e-01, 4.52577728e+02
1.70000002e-01, 4.44512543e+02
1.80000007e-01, 4.35887909e+02
1.89999998e-01, 4.26721466e+02
2.00000003e-01, 4.17010376e+02
2.09999993e-01, 4.06747742e+02
2.19999999e-01, 3.95955688e+02
2.30000004e-01, 3.84633057e+02
2.39999995e-01, 3.72796783e+02
2.50000000e-01, 3.60461884e+02
2.59999990e-01, 3.47752228e+02
2.70000011e-01, 3.34582916e+02
2.80000001e-01, 3.20930481e+02
2.89999992e-01, 3.06823273e+02
3.00000012e-01, 2.86270844e+02
3.10000002e-01, 2.74075775e+02
